timestamp,uav_id,x,y,z,vx,vy,vz,speed
9.4,43,85.7936,133.6459,39.1841,18.9008,7.2153,9.7842,22.4729
9.4,44,55.2569,107.4151,39.2174,-7.6815,-2.4804,11.3696,13.9437
9.4,45,106.7822,47.3274,5.1334,-3.1801,2.883,5.6336,7.0825
9.4,46,66.9262,78.509,25.7863,-22.6422,5.0691,13.2154,26.7023
9.4,47,14.3903,106.3652,26.9359,-7.9755,4.0791,25.96,27.4621
9.4,48,6.4038,79.8067,20.5127,6.9579,9.9877,21.8197,24.9854
9.4,49,197.0975,5.1384,19.1871,0.8386,4.4389,-10.1539,11.1134
9.5,0,48.8532,179.479,5.6984,3.1657,-0.8836,-21.3693,21.6206
9.5,1,3.8982,151.7219,28.9274,17.1644,-13.8859,7.7565,23.4008
9.5,2,178.3755,33.5336,8.2546,-9.5789,20.0521,14.9421,26.7788
9.5,3,116.04,179.9083,26.3985,11.1668,1.4238,10.009,15.0634
9.5,4,145.7331,153.8824,9.1251,-2.7615,-2.1137,-4.0888,5.3677
9.5,5,154.2112,150.9683,48.2604,-8.9106,3.6308,21.9506,23.9669
9.5,6,72.7936,74.8172,39.0897,-0.0787,-28.8975,19.6771,34.9609
9.5,7,127.0107,73.335,31.9424,-2.4203,-0.3771,-13.6179,13.8365
9.5,8,27.024,23.3864,34.8005,9.1655,4.7787,-1.946,10.518
9.5,9,36.1486,186.8184,31.7981,0.2993,8.9625,10.0283,13.453
9.5,10,128.9551,94.7056,22.2826,10.8881,-9.9044,-9.9427,17.7625
9.5,11,112.8057,31.0473,47.6803,11.3444,2.7379,-4.5545,12.5274
9.5,12,111.1272,50.4722,6.5448,-1.1837,-14.0995,6.102,15.4088
9.5,13,174.5392,92.031,15.2162,-1.0908,4.0428,-23.7804,24.1462
9.5,14,122.337,62.1507,17.7048,-1.5218,0.4667,15.2681,15.3508
9.5,15,110.5068,172.458,23.1083,-8.6308,-1.703,-14.4084,16.8818
9.5,16,92.9364,157.2454,43.872,-0.0003,0.519,-6.1792,6.2009
9.5,17,54.163,136.7677,35.994,-0.3144,-0.4441,-32.5337,32.5383
9.5,18,3.9965,78.8646,12.4831,-5.6911,-15.335,-5.34,17.2066
9.5,19,90.0649,124.217,35.0283,4.5434,2.6893,13.8737,14.8443
9.5,20,49.9804,115.4846,23.1135,-2.8614,2.9002,6.4092,7.5945
9.5,21,92.8074,132.2078,28.0842,-0.2315,-6.5504,23.1141,24.0255
9.5,22,169.5975,20.6786,19.1751,-5.4493,-30.254,3.2748,30.9147
9.5,23,40.5474,71.3958,31.3396,-5.9139,-1.7022,-0.9996,6.2346
